map_index,k_index,target_states,auxiliary_states,ng,initial_source,initial_seed,initial_gram_norm,initial_imaginary_norm,initial_sha256,initial_unchanged,converged,iterations,elapsed_seconds,solver_n_matvec,operator_counts,counts_after_explicit_residual,orthogonality_frobenius,max_explicit_residual_ha
112,3,24,6,2770,Previous map from this run only,64003,2.496555929325654e-14,3.6973734297228846,7e490b14f623bdeb2b2f4b200ba8b57686be55245ead9c11fecdef41f799fe39,True,True,17,0.7827420234680176,357,"{""full_mul_calls"":18,""full_columns"":357,""fr_mul_calls"":18,""fr_columns"":357,""common"":{""operator_mul_calls"":18,""operator_columns"":357,""scalar_mul_calls"":36,""scalar_columns"":714}}","{""full_mul_calls"":19,""full_columns"":381,""fr_mul_calls"":19,""fr_columns"":381,""common"":{""operator_mul_calls"":19,""operator_columns"":381,""scalar_mul_calls"":38,""scalar_columns"":762}}",1.9792138796689662e-14,9.905644011188457e-11
113,1,24,6,2777,Previous map from this run only,64001,2.674576324706855e-14,3.866721099665445,c739a3280eccf5fde89a7d8b3cd8e72659a22187267ab4e88c9094c7ef2c0bd0,True,True,14,0.6039409637451172,330,"{""full_mul_calls"":15,""full_columns"":330,""fr_mul_calls"":15,""fr_columns"":330,""common"":{""operator_mul_calls"":15,""operator_columns"":330,""scalar_mul_calls"":30,""scalar_columns"":660}}","{""full_mul_calls"":16,""full_columns"":354,""fr_mul_calls"":16,""fr_columns"":354,""common"":{""operator_mul_calls"":16,""operator_columns"":354,""scalar_mul_calls"":32,""scalar_columns"":708}}",1.628306343680794e-14,9.892832175024468e-11
113,2,24,6,2770,Previous map from this run only,64002,2.4232262028264187e-14,3.781692713191589,82a662ffdcbf4fb3b6a9ca9abddefb8b1ddb026dbf6475d55d3c20d30f294d0e,True,True,17,0.7753958702087402,356,"{""full_mul_calls"":18,""full_columns"":356,""fr_mul_calls"":18,""fr_columns"":356,""common"":{""operator_mul_calls"":18,""operator_columns"":356,""scalar_mul_calls"":36,""scalar_columns"":712}}","{""full_mul_calls"":19,""full_columns"":380,""fr_mul_calls"":19,""fr_columns"":380,""common"":{""operator_mul_calls"":19,""operator_columns"":380,""scalar_mul_calls"":38,""scalar_columns"":760}}",2.025787396582323e-14,9.178979216633794e-11
113,3,24,6,2770,Previous map from this run only,64003,2.4710154588543765e-14,4.166474752241017,005d4d2f4add267bdce319f7d55b0dac1697ff27d3a1cc6cbfc018f2db3b40eb,True,True,16,0.6181530952453613,348,"{""full_mul_calls"":17,""full_columns"":348,""fr_mul_calls"":17,""fr_columns"":348,""common"":{""operator_mul_calls"":17,""operator_columns"":348,""scalar_mul_calls"":34,""scalar_columns"":696}}","{""full_mul_calls"":18,""full_columns"":372,""fr_mul_calls"":18,""fr_columns"":372,""common"":{""operator_mul_calls"":18,""operator_columns"":372,""scalar_mul_calls"":36,""scalar_columns"":744}}",1.9039681306800745e-14,9.688860234965269e-11
114,1,24,6,2777,Previous map from this run only,64001,2.2201252360078875e-14,4.022487157220095,05ff90e32c2e4cf5c82441b8d9c2fc19aa4883e1231929ce1c37d141ed70c8fa,True,True,14,0.5899810791015625,330,"{""full_mul_calls"":15,""full_columns"":330,""fr_mul_calls"":15,""fr_columns"":330,""common"":{""operator_mul_calls"":15,""operator_columns"":330,""scalar_mul_calls"":30,""scalar_columns"":660}}","{""full_mul_calls"":16,""full_columns"":354,""fr_mul_calls"":16,""fr_columns"":354,""common"":{""operator_mul_calls"":16,""operator_columns"":354,""scalar_mul_calls"":32,""scalar_columns"":708}}",1.7557178891816492e-14,9.160764545256685e-11
114,2,24,6,2770,Previous map from this run only,64002,2.3737020765357238e-14,3.8671821701815476,ff34d27c3a3e3731a8490cf1efefb78c633319ee44bb61f147d30e8709631552,True,True,16,0.6288230419158936,346,"{""full_mul_calls"":17,""full_columns"":346,""fr_mul_calls"":17,""fr_columns"":346,""common"":{""operator_mul_calls"":17,""operator_columns"":346,""scalar_mul_calls"":34,""scalar_columns"":692}}","{""full_mul_calls"":18,""full_columns"":370,""fr_mul_calls"":18,""fr_columns"":370,""common"":{""operator_mul_calls"":18,""operator_columns"":370,""scalar_mul_calls"":36,""scalar_columns"":740}}",2.1588621761414517e-14,9.743257944148753e-11
114,3,24,6,2770,Previous map from this run only,64003,2.3077026190042954e-14,3.752173241087104,8b0b78c4794d3322d8fb813069d29c11acb0e0654c25797d037307f6499e6163,True,True,17,0.8027529716491699,353,"{""full_mul_calls"":18,""full_columns"":353,""fr_mul_calls"":18,""fr_columns"":353,""common"":{""operator_mul_calls"":18,""operator_columns"":353,""scalar_mul_calls"":36,""scalar_columns"":706}}","{""full_mul_calls"":19,""full_columns"":377,""fr_mul_calls"":19,""fr_columns"":377,""common"":{""operator_mul_calls"":19,""operator_columns"":377,""scalar_mul_calls"":38,""scalar_columns"":754}}",1.9785184218785898e-14,9.889974011111778e-11
115,1,24,6,2777,Previous map from this run only,64001,2.169467023191084e-14,3.8958530128234727,9e563b4b9fb97bed9adca54758f05c4aebca7d53be290fe58cec627118d2bbee,True,True,14,0.7588789463043213,329,"{""full_mul_calls"":15,""full_columns"":329,""fr_mul_calls"":15,""fr_columns"":329,""common"":{""operator_mul_calls"":15,""operator_columns"":329,""scalar_mul_calls"":30,""scalar_columns"":658}}","{""full_mul_calls"":16,""full_columns"":353,""fr_mul_calls"":16,""fr_columns"":353,""common"":{""operator_mul_calls"":16,""operator_columns"":353,""scalar_mul_calls"":32,""scalar_columns"":706}}",1.89195513531268e-14,9.889941283599218e-11
115,2,24,6,2770,Previous map from this run only,64002,2.541853809645581e-14,3.8592249355147024,01f63de8ff5b01d1dfdad37fbc31d02b6c8bb20a85c9afa48437acfa9c30b598,True,True,16,0.6092829704284668,344,"{""full_mul_calls"":17,""full_columns"":344,""fr_mul_calls"":17,""fr_columns"":344,""common"":{""operator_mul_calls"":17,""operator_columns"":344,""scalar_mul_calls"":34,""scalar_columns"":688}}","{""full_mul_calls"":18,""full_columns"":368,""fr_mul_calls"":18,""fr_columns"":368,""common"":{""operator_mul_calls"":18,""operator_columns"":368,""scalar_mul_calls"":36,""scalar_columns"":736}}",2.097565845719545e-14,9.440822160633224e-11
115,3,24,6,2770,Previous map from this run only,64003,2.4945273898097705e-14,4.008907288473338,7f759442b0cfb89794bcc1033be63c1d26833ae9cc4649c7ef752754c9feec0d,True,True,16,0.613602876663208,345,"{""full_mul_calls"":17,""full_columns"":345,""fr_mul_calls"":17,""fr_columns"":345,""common"":{""operator_mul_calls"":17,""operator_columns"":345,""scalar_mul_calls"":34,""scalar_columns"":690}}","{""full_mul_calls"":18,""full_columns"":369,""fr_mul_calls"":18,""fr_columns"":369,""common"":{""operator_mul_calls"":18,""operator_columns"":369,""scalar_mul_calls"":36,""scalar_columns"":738}}",1.8663401902561544e-14,9.562338205691935e-11
