h_rad,plus_total_ha,minus_total_ha,numeric_total_ha_per_rad,total_normalized_error,plus_nonlocal_ha,minus_nonlocal_ha,numeric_nonlocal_ha_per_rad,nonlocal_absolute_error,analytic_total_ha_per_rad,analytic_nonlocal_ha_per_rad
0.001,-53.3076788028678,-53.30836560540756,0.34340126988041675,2.1624880897075371e-07,-17.557051255962467,-17.557185189688486,0.06696686300955434,4.464475682197655e-08,0.3434014861292257,0.06696690765431117
0.0003,-53.307920360006015,-53.30812640088611,0.3434014668239153,1.930531040583716e-08,-17.55709836183025,-17.55713854197243,0.06696690363720374,4.017107424481026e-09,0.3434014861292257,0.06696690765431117
0.0001,-53.307989143709456,-53.3080578240062,0.34340148371114765,2.4180780711091643e-09,-17.557111775349163,-17.557125168730604,0.0669669072017598,4.52551371377119e-10,0.3434014861292257,0.06696690765431117
