pair,left,right,k_index,coordinate_fractional,band_index,left_eigenvalue_ha,right_eigenvalue_ha,left_occupation,right_occupation,group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,raw_difference_mev,raw_difference_uev,global_reference_difference_ha,global_reference_difference_ev,global_reference_difference_mev,global_reference_difference_uev,mg_C_diagnostic_ha
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",1,-3.290030681128614,-3.290030032987275,1.0,1.0,occupied,True,-6.481413392656066e-07,-1.7636824324743832e-05,-0.01763682432474383,-17.63682432474383,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",2,-3.290030681128612,-3.290030032987272,1.0,1.0,occupied,True,-6.48141340153785e-07,-1.76368243489124e-05,-0.017636824348912398,-17.6368243489124,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",3,-1.661499453064247,-1.661499016476153,1.0,1.0,occupied,True,-4.365880941215039e-07,-1.188016725953695e-05,-0.01188016725953695,-11.88016725953695,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",4,-1.661499453064246,-1.661499016476153,1.0,1.0,occupied,True,-4.365880930112809e-07,-1.1880167229326242e-05,-0.011880167229326243,-11.880167229326242,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",5,-1.652785545715813,-1.652785108001084,1.0,1.0,occupied,True,-4.377147289069683e-07,-1.191082455384238e-05,-0.011910824553842379,-11.91082455384238,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",6,-1.652785545715813,-1.652785108001082,1.0,1.0,occupied,True,-4.377147309053697e-07,-1.1910824608221652e-05,-0.011910824608221652,-11.910824608221652,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",7,-1.652602182644505,-1.652601749147876,1.0,1.0,occupied,True,-4.3349662903757746e-07,-1.1796044209072264e-05,-0.011796044209072263,-11.796044209072264,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",8,-1.652602182644504,-1.652601749147871,1.0,1.0,occupied,True,-4.3349663303438035e-07,-1.179604431783081e-05,-0.011796044317830809,-11.796044317830809,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",9,-0.1592091612709172,-0.1592092749502884,1.0,1.0,occupied,True,1.1367937119421967e-07,3.0933732777661577e-06,0.0030933732777661577,3.093373277766158,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",10,-0.1592091612709162,-0.1592092749502856,1.0,1.0,occupied,True,1.1367936941786283e-07,3.0933732294290257e-06,0.0030933732294290256,3.0933732294290257,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",11,0.06051999770811803,0.06051991280831323,1.777148474580432e-57,1.77729936054401e-57,empty,True,8.489980479753356e-08,2.3102413805540765e-06,0.0023102413805540767,2.3102413805540767,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",12,0.06051999770811867,0.06051991280831323,1.77714847457927e-57,1.77729936054401e-57,empty,True,8.48998054359118e-08,2.310241397925233e-06,0.0023102413979252333,2.310241397925233,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",13,0.06082948730446573,0.06082939159305185,1.304109591899228e-57,1.304234416045572e-57,empty,True,9.571141388470261e-08,2.6044402513655917e-06,0.0026044402513655915,2.6044402513655918,,,,,
D36_minus_Q36,D36,Q36,1,"[0.0,0.0,0.0]",14,0.06082948730446573,0.0608293915930537,1.304109591899228e-57,1.304234416043162e-57,empty,True,9.571141203201794e-08,2.6044402009514735e-06,0.0026044402009514733,2.6044402009514735,,,,,
