kpoint_index,k_fractional,band,occupation,dftk_ha,qe_ha,delta_ha,dftk_global_reference_ha,qe_global_reference_ha,global_reference_delta_ha,independent_C_residual_ha
1,"[0, 0, 0]",1,2.0,-0.2590347568979995,-0.2096311468026683,-0.049403610095331174,-0.4427442221414012,-0.442744304076639,8.193523781674372e-08,-8.774398952970941e-07
1,"[0, 0, 0]",2,2.0,0.18370946524336743,0.2331129811371087,-0.049403515893741284,-3.425038030968608e-14,-1.7613686198458822e-07,1.761368277342079e-07,-7.832383054073855e-07
1,"[0, 0, 0]",3,2.0,0.183709465243376,0.2331130935456687,-0.049403628302292696,-2.5673907444456745e-14,-6.372830199663504e-08,6.37282763227276e-08,-8.956468568188658e-07
1,"[0, 0, 0]",4,2.0,0.18370946524340168,0.2331131572739707,-0.04940369203056902,0.0,0.0,0.0,-9.593751331415934e-07
1,"[0, 0, 0]",5,0.0,0.27174744022222497,0.3211509219596729,-0.04940348173744791,0.08803797497882329,0.08803776468570218,2.1029312111120468e-07,-7.490820120303887e-07
1,"[0, 0, 0]",6,0.0,0.271747440222238,0.3211509548075693,-0.049403514585331265,0.08803797497883634,0.08803779753359858,1.7744523775342635e-07,-7.81929895388167e-07
1,"[0, 0, 0]",7,0.0,0.2717474402223408,0.321151021206034,-0.049403580983693185,0.08803797497893914,0.08803786393206331,1.1104687583363138e-07,-8.48328257307962e-07
1,"[0, 0, 0]",8,0.0,0.30004443494057187,0.3494481927897013,-0.049403757849129426,0.11633496969717019,0.1163350355157306,-6.581856040743794e-08,-1.0251936935490313e-06
2,"[0, 0, -0.5]",1,2.0,-0.171898392132681,-0.1224948156203031,-0.049403576512377895,-0.3556078573760827,-0.3556079728942738,1.1551819112387562e-07,-8.438569420177178e-07
2,"[0, 0, -0.5]",2,2.0,-0.07719382100746744,-0.0277901478705967,-0.04940367313687074,-0.2609032862508691,-0.2609033051445674,1.8893698272570703e-08,-9.404814348620838e-07
2,"[0, 0, -0.5]",3,2.0,0.13862889075996196,0.1880324098035153,-0.049403519043553334,-0.04508057448343972,-0.0450807474704554,1.72987015684134e-07,-7.863881174574594e-07
2,"[0, 0, -0.5]",4,2.0,0.13862889076002247,0.1880325039002831,-0.04940361314026062,-0.04508057448337921,-0.04508065337368761,7.889030839702826e-08,-8.804848247445651e-07
