kpoint_index,k_fractional,band,occupation,dftk_ha,qe_ha,delta_ha,dftk_global_reference_ha,qe_global_reference_ha,global_reference_delta_ha,independent_C_residual_ha
1,"[0, 0, 0]",1,2.0,-0.25903423961756517,-0.2096303850835582,-0.049403854534006975,-0.4427441287823261,-0.4427443646479195,2.3586559338983903e-07,-1.1218785710975787e-06
1,"[0, 0, 0]",2,2.0,0.1837098891646814,0.233113738028713,-0.049403848864031596,-7.954747971439247e-14,-2.415356483154163e-07,2.415355687679366e-07,-1.1162085957194812e-06
1,"[0, 0, 0]",3,2.0,0.18370988916471637,0.2331138497457338,-0.049403960581017425,-4.4575454438700035e-14,-1.2981862751448858e-07,1.2981858293903414e-07,-1.2279255815483836e-06
1,"[0, 0, 0]",4,2.0,0.18370988916476094,0.2331139795643613,-0.049404090399600364,0.0,0.0,0.0,-1.3577441644874177e-06
1,"[0, 0, 0]",5,0.0,0.27174779288808193,0.3211514251335335,-0.04940363224545158,0.08803790372332099,0.0880374455691722,4.581541487858054e-07,-8.995900157016123e-07
1,"[0, 0, 0]",6,0.0,0.271747792888095,0.3211514900070436,-0.04940369711894865,0.08803790372333403,0.08803751044268232,3.9328065171151394e-07,-9.644635127759038e-07
1,"[0, 0, 0]",7,0.0,0.2717477928881787,0.3211515801872817,-0.049403787299103,0.08803790372341774,0.08803760062292038,3.031004973674811e-07,-1.0546436671199366e-06
1,"[0, 0, 0]",8,0.0,0.3000458271712822,0.3494498909874713,-0.049404063816189114,0.11633593800652126,0.11633591142311,2.6583411250058475e-08,-1.3311607532373593e-06
2,"[0, 0, -0.5]",1,2.0,-0.17189792315743854,-0.1224940115919589,-0.049403911565479644,-0.3556078123221995,-0.3556079911563202,1.7883412067876137e-07,-1.178910043767023e-06
2,"[0, 0, -0.5]",2,2.0,-0.07719329494249433,-0.02778950351082708,-0.049403791431667246,-0.26090318410725527,-0.2609034830751884,2.989679331322215e-07,-1.058776231369074e-06
2,"[0, 0, -0.5]",3,2.0,0.1386294154750444,0.1880332484547578,-0.0494038329797134,-0.045080473689716544,-0.045080731109603506,2.574198869620403e-07,-1.1003242775253774e-06
2,"[0, 0, -0.5]",4,2.0,0.1386294154751083,0.1880334017045226,-0.049403986229414304,-0.04508047368965265,-0.04508057785983871,1.0417018606045936e-07,-1.2535739784269584e-06
2,"[0, 0, -0.5]",5,0.0,0.23251296562818163,0.2819169115982456,-0.04940394597006398,0.04880307646342069,0.048802932033884305,1.4442953638615919e-07,-1.2133146281012586e-06
2,"[0, 0, -0.5]",6,0.0,0.2990452896861747,0.3484488784205795,-0.04940358873440476,0.11533540052141378,0.11533489885621817,5.01665195606904e-07,-8.560789688805137e-07
2,"[0, 0, -0.5]",7,0.0,0.2990452896861816,0.3484490319642229,-0.049403742278041285,0.11533540052142066,0.11533505239986158,3.4812155907948394e-07,-1.0096226054079338e-06
2,"[0, 0, -0.5]",8,0.0,0.4507558912755729,0.5001598673736054,-0.04940397609803249,0.267046002110812,0.2670458878092441,1.1430156787728407e-07,-1.2434425966101337e-06
3,"[0, -0.5, 0]",1,2.0,-0.17189792315747374,-0.122494084702385,-0.049403838455088736,-0.3556078123222347,-0.3556080642667463,2.519445115867214e-07,-1.105799652859063e-06
3,"[0, -0.5, 0]",2,2.0,-0.07719329494242722,-0.0277893522891409,-0.04940394265328632,-0.26090318410718816,-0.26090333185350223,1.477463140719948e-07,-1.2099978504431785e-06
3,"[0, -0.5, 0]",3,2.0,0.13862941547504015,0.1880332526119998,-0.049403837136959644,-0.04508047368972079,-0.04508072695236151,2.53262640720342e-07,-1.1044815237670758e-06
3,"[0, -0.5, 0]",4,2.0,0.13862941547507293,0.1880333390581639,-0.04940392358309098,-0.04508047368968801,-0.045080640506197395,1.6681650938377146e-07,-1.1909276551036463e-06
3,"[0, -0.5, 0]",5,0.0,0.23251296562827603,0.2819168397447402,-0.04940387411646416,0.04880307646351509,0.04880286018037888,2.1628313620625228e-07,-1.1414610282811655e-06
3,"[0, -0.5, 0]",6,0.0,0.2990452896860888,0.348448878413314,-0.04940358872722522,0.11533540052132785,0.1153348988489527,5.016723751416485e-07,-8.560717893457692e-07
3,"[0, -0.5, 0]",7,0.0,0.2990452896861078,0.3484489850348851,-0.04940369534877731,0.11533540052134683,0.11533500547052378,3.950508230543548e-07,-9.62693341433063e-07
3,"[0, -0.5, 0]",8,0.0,0.4507558912755686,0.5001597985932129,-0.049403907317644324,0.26704600211080765,0.2670458190288516,1.8308195603999877e-07,-1.174662208447419e-06
4,"[0, -0.5, -0.5]",1,2.0,-0.10551925818618163,-0.05611541968684874,-0.04940383849933289,-0.2892291473509426,-0.28922939925121005,2.519002674783444e-07,-1.1058438970160123e-06
4,"[0, -0.5, -0.5]",2,2.0,-0.10551925818601943,-0.05611529826189712,-0.049403959924122304,-0.28922914735078037,-0.2892292778262584,1.3047547803290982e-07,-1.2272686864267524e-06
4,"[0, -0.5, -0.5]",3,2.0,0.07601210014210849,0.1254158945272,-0.049403794385091515,-0.10769778902265245,-0.1076980850371613,2.9601450884930713e-07,-1.0617296556381106e-06
4,"[0, -0.5, -0.5]",4,2.0,0.07601210014213114,0.1254159318867731,-0.04940383174464197,-0.1076977890226298,-0.1076980476775882,2.58654958396054e-07,-1.0990892060913637e-06
4,"[0, -0.5, -0.5]",5,0.0,0.19897480864348518,0.2483785549024295,-0.04940374625894431,0.015264919478724243,0.015264575338068187,3.441406560555915e-07,-1.0136035084318262e-06
4,"[0, -0.5, -0.5]",6,0.0,0.1989748086435046,0.2483786407545891,-0.049403832111084484,0.015264919478743671,0.01526466119022779,2.5828851588083346e-07,-1.0994556486065843e-06
4,"[0, -0.5, -0.5]",7,0.0,0.547612654233058,0.5970165158557901,-0.049403861622732026,0.3639027650682971,0.36390253629142877,2.287768683384428e-07,-1.128967296148975e-06
4,"[0, -0.5, -0.5]",8,0.0,0.5476126542331351,0.5970165506254022,-0.049403896392267055,0.36390276506837416,0.36390257106104085,1.9400733330954267e-07,-1.163736831177875e-06
5,"[-0.5, 0, 0]",1,2.0,-0.17189792315745397,-0.1224939763242766,-0.04940394683317738,-0.35560781232221494,-0.3556079558886379,1.4356642297208566e-07,-1.2141777415014543e-06
5,"[-0.5, 0, 0]",2,2.0,-0.07719329494246385,-0.02778957533605234,-0.04940371960641152,-0.2609031841072248,-0.26090355490041367,3.7079318887522916e-07,-9.869509756399442e-07
5,"[-0.5, 0, 0]",3,2.0,0.13862941547502586,0.1880332843533423,-0.04940386887831644,-0.045080473689735084,-0.04508069521101901,2.215212839273839e-07,-1.1362228805600338e-06
5,"[-0.5, 0, 0]",4,2.0,0.13862941547511276,0.1880333871644165,-0.049403971689303744,-0.04508047368964818,-0.0450805923999448,1.1871029662047228e-07,-1.2390338678669455e-06
5,"[-0.5, 0, 0]",5,0.0,0.2325129656281958,0.2819169475965957,-0.0494039819683999,0.04880307646343485,0.048802968032234384,1.0843120046288846e-07,-1.2493129640245293e-06
5,"[-0.5, 0, 0]",6,0.0,0.2990452896861467,0.3484489176230002,-0.04940362793685349,0.11533540052138574,0.11533493805863887,4.6246274687522515e-07,-8.952814176121926e-07
5,"[-0.5, 0, 0]",7,0.0,0.2990452896861667,0.3484490206590079,-0.049403730972841176,0.11533540052140578,0.1153350410946466,3.5942675918887446e-07,-9.983174052985433e-07
5,"[-0.5, 0, 0]",8,0.0,0.45075589127556615,0.5001599027522428,-0.04940401147667661,0.2670460021108052,0.26704592318788145,7.892292375188958e-08,-1.2788212407355282e-06
6,"[-0.5, 0, -0.5]",1,2.0,-0.10551925818618117,-0.05611547084317127,-0.0494037873430099,-0.28922914735094213,-0.28922945040753256,3.030565904338367e-07,-1.0546875740258255e-06
6,"[-0.5, 0, -0.5]",2,2.0,-0.10551925818601904,-0.0561152494636715,-0.049404008722347535,-0.28922914735078,-0.28922922902803283,8.167725285002092e-08,-1.2760669116582135e-06
6,"[-0.5, 0, -0.5]",3,2.0,0.07601210014209711,0.1254158839952137,-0.049403783853116584,-0.10769778902266383,-0.10769809556914761,3.0654648378036775e-07,-1.05119768070705e-06
6,"[-0.5, 0, -0.5]",4,2.0,0.07601210014214177,0.1254159587410115,-0.049403858598869727,-0.10769778902261917,-0.10769802082334981,2.3180073063788775e-07,-1.12594343384953e-06
6,"[-0.5, 0, -0.5]",5,0.0,0.1989748086434755,0.2483785169715019,-0.0494037083280264,0.015264919478714556,0.015264537407140594,3.8207157396219493e-07,-9.756725905252228e-07
6,"[-0.5, 0, -0.5]",6,0.0,0.19897480864351483,0.2483786566005807,-0.04940384795706587,0.015264919478753886,0.015264677036219393,2.424425344926817e-07,-1.115301629994736e-06
6,"[-0.5, 0, -0.5]",7,0.0,0.5476126542330502,0.5970164926320344,-0.04940383839898421,0.3639027650682892,0.3639025130676731,2.520006161521593e-07,-1.1057435483352585e-06
6,"[-0.5, 0, -0.5]",8,0.0,0.5476126542331348,0.5970165907906123,-0.049403936557477546,0.3639027650683738,0.363902611226251,1.5384212281865928e-07,-1.2039020416687585e-06
7,"[-0.5, -0.5, 0]",1,2.0,-0.10551925818618191,-0.05611538720370172,-0.04940387098248019,-0.28922914735094285,-0.28922936676806305,2.1941712019524218e-07,-1.1383270443129923e-06
7,"[-0.5, -0.5, 0]",2,2.0,-0.10551925818601827,-0.0561153320944254,-0.04940392609159287,-0.2892291473507792,-0.28922931165878674,1.6430800753308716e-07,-1.193436156995964e-06
7,"[-0.5, -0.5, 0]",3,2.0,0.07601210014209354,0.125415901303315,-0.049403801161221464,-0.1076977890226674,-0.1076980782610463,2.8923837890049153e-07,-1.0685057855869262e-06
7,"[-0.5, -0.5, 0]",4,2.0,0.07601210014214524,0.1254159343185167,-0.04940383417637145,-0.1076977890226157,-0.10769804524584461,2.5622322891161176e-07,-1.101520935575806e-06
7,"[-0.5, -0.5, 0]",5,0.0,0.19897480864347578,0.2483785879083041,-0.049403779264828335,0.015264919478714833,0.015264608343942804,3.1113477202970863e-07,-1.0466093924577091e-06
7,"[-0.5, -0.5, 0]",6,0.0,0.19897480864351544,0.2483785957862836,-0.04940378714276816,0.015264919478754496,0.015264616221922295,3.032568322014484e-07,-1.0544873322859694e-06
7,"[-0.5, -0.5, 0]",7,0.0,0.5476126542330364,0.5970165308400989,-0.04940387660706247,0.36390276506827546,0.36390255127573756,2.1379253789532982e-07,-1.143951626592088e-06
7,"[-0.5, -0.5, 0]",8,0.0,0.5476126542331494,0.5970165484819093,-0.049403894248759905,0.3639027650683885,0.363902568917548,1.9615084045909725e-07,-1.1615933240283205e-06
8,"[-0.5, -0.5, -0.5]",1,2.0,-0.17189792315745464,-0.1224940460822532,-0.04940387707520144,-0.3556078123222156,-0.35560802564661453,2.1332439892329802e-07,-1.1444197655641197e-06
8,"[-0.5, -0.5, -0.5]",2,2.0,-0.07719329494246166,-0.02778942965469825,-0.04940386528776341,-0.2609031841072226,-0.2609034092190596,2.251118370044658e-07,-1.1326323275315242e-06
8,"[-0.5, -0.5, -0.5]",3,2.0,0.1386294154750264,0.1880332391179924,-0.049403823642966,-0.04508047368973453,-0.045080740446368894,2.667566343650396e-07,-1.0909875301223781e-06
8,"[-0.5, -0.5, -0.5]",4,2.0,0.13862941547511273,0.1880333752735034,-0.049403959798390656,-0.04508047368964821,-0.04508060429085792,1.3060120970798117e-07,-1.2271429547794366e-06
8,"[-0.5, -0.5, -0.5]",5,0.0,0.23251296562818016,0.2819168635735547,-0.04940389794537456,0.04880307646341922,0.048802884009193415,1.9245422580582705e-07,-1.1652899386815907e-06
8,"[-0.5, -0.5, -0.5]",6,0.0,0.29904528968615673,0.3484488684374592,-0.04940357875130247,0.11533540052139579,0.1153348888730979,5.116482978961834e-07,-8.460958665912344e-07
8,"[-0.5, -0.5, -0.5]",7,0.0,0.2990452896861711,0.3484490405667803,-0.049403750880609165,0.11533540052141017,0.11533506100241897,3.395189911992169e-07,-1.0182251732882008e-06
8,"[-0.5, -0.5, -0.5]",8,0.0,0.4507558912755655,0.5001598436200523,-0.0494039523444868,0.26704600211080454,0.267045864055691,1.3805511356324018e-07,-1.2196890509241776e-06
