k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[0, 0, 0]",1,2.0,-0.25903423961756517,-0.2590347568979995,-5.172804343200887e-07,-0.4427441287823261,-0.4427442221414012,-9.33590750817892e-08
"[0, 0, 0]",2,2.0,0.1837098891646814,0.18370946524336743,-4.239213139689557e-07,-7.954747971439247e-14,-3.425038030968608e-14,4.529709940470639e-14
"[0, 0, 0]",3,2.0,0.18370988916471637,0.183709465243376,-4.239213403645081e-07,-4.4575454438700035e-14,-2.5673907444456745e-14,1.890154699424329e-14
"[0, 0, 0]",4,2.0,0.18370988916476094,0.18370946524340168,-4.239213592660551e-07,0.0,0.0,0.0
"[0, 0, 0]",5,0.0,0.27174779288808193,0.27174744022222497,-3.526658569619201e-07,0.08803790372332099,0.08803797497882329,7.125550230413502e-08
"[0, 0, 0]",6,0.0,0.271747792888095,0.271747440222238,-3.526658569619201e-07,0.08803790372333403,0.08803797497883634,7.125550230413502e-08
"[0, 0, 0]",7,0.0,0.2717477928881787,0.2717474402223408,-3.526658378660841e-07,0.08803790372341774,0.08803797497893914,7.125552139997104e-08
"[0, 0, 0]",8,0.0,0.3000458271712822,0.30004443494057187,-1.392230710328679e-06,0.11633593800652126,0.11633496969717019,-9.68309351062624e-07
"[0, 0, -0.5]",1,2.0,-0.17189792315743854,-0.171898392132681,-4.689752424458238e-07,-0.3556078123221995,-0.3556078573760827,-4.505388317976866e-08
"[0, 0, -0.5]",2,2.0,-0.07719329494249433,-0.07719382100746744,-5.260649731109179e-07,-0.26090318410725527,-0.2609032862508691,-1.0214361384486281e-07
"[0, 0, -0.5]",3,2.0,0.1386294154750444,0.13862889075996196,-5.247150824394531e-07,-0.045080473689716544,-0.04508057448343972,-1.0079372317339796e-07
"[0, 0, -0.5]",4,2.0,0.1386294154751083,0.13862889076002247,-5.247150858256333e-07,-0.04508047368965265,-0.04508057448337921,-1.0079372655957819e-07
"[0, 0, -0.5]",5,0.0,0.23251296562818163,0.2325123250107256,-6.406174560269484e-07,0.04880307646342069,0.04880285976732393,-2.166960967608933e-07
"[0, 0, -0.5]",6,0.0,0.2990452896861747,0.299045037725995,-2.519601797201787e-07,0.11533540052141378,0.11533557248259332,1.7196117954587642e-07
"[0, 0, -0.5]",7,0.0,0.2990452896861816,0.29904503772601404,-2.519601675632366e-07,0.11533540052142066,0.11533557248261236,1.7196119170281854e-07
"[0, 0, -0.5]",8,0.0,0.4507558912755729,0.450755730418682,-1.6085689091838162e-07,0.267046002110812,0.2670462651752803,2.630644683199179e-07
"[0, -0.5, 0]",1,2.0,-0.17189792315747374,-0.17189839213267852,-4.6897520478150767e-07,-0.3556078123222347,-0.3556078573760802,-4.5053845487696975e-08
"[0, -0.5, 0]",2,2.0,-0.07719329494242722,-0.07719382100747213,-5.26065044914592e-07,-0.26090318410718816,-0.2609032862508738,-1.0214368562078135e-07
"[0, -0.5, 0]",3,2.0,0.13862941547504015,0.13862889075996676,-5.247150733911354e-07,-0.04508047368972079,-0.045080574483434915,-1.0079371412508031e-07
"[0, -0.5, 0]",4,2.0,0.13862941547507293,0.13862889076002188,-5.247150510478971e-07,-0.04508047368968801,-0.04508057448337979,-1.0079369178184194e-07
"[0, -0.5, 0]",5,0.0,0.23251296562827603,0.23251232501070984,-6.40617566188828e-07,0.04880307646351509,0.048802859767308165,-2.1669620692277292e-07
"[0, -0.5, 0]",6,0.0,0.2990452896860888,0.2990450377260057,-2.519600830752644e-07,0.11533540052132785,0.11533557248260404,1.719612761907907e-07
"[0, -0.5, 0]",7,0.0,0.2990452896861078,0.29904503772602453,-2.5196008324179786e-07,0.11533540052134683,0.11533557248262286,1.7196127602425726e-07
"[0, -0.5, 0]",8,0.0,0.4507558912755686,0.4507557304186813,-1.608568873101568e-07,0.26704600211080765,0.26704626517527963,2.630644719836539e-07
"[0, -0.5, -0.5]",1,2.0,-0.10551925818618163,-0.10551981454520132,-5.563590196877577e-07,-0.2892291473509426,-0.289229279788603,-1.3243766044945815e-07
"[0, -0.5, -0.5]",2,2.0,-0.10551925818601943,-0.10551981454518156,-5.563591621293718e-07,-0.28922914735078037,-0.28922927978858326,-1.324378028910722e-07
"[0, -0.5, -0.5]",3,2.0,0.07601210014210849,0.07601162488093131,-4.7526117717688887e-07,-0.10769778902265245,-0.10769784036247036,-5.133981791083375e-08
"[0, -0.5, -0.5]",4,2.0,0.07601210014213114,0.07601162488095925,-4.752611718894517e-07,-0.1076977890226298,-0.10769784036244243,-5.13398126233966e-08
"[0, -0.5, -0.5]",5,0.0,0.19897480864348518,0.19897455529697458,-2.533465106036026e-07,0.015264919478724243,0.015265090053572905,1.7057484866245254e-07
"[0, -0.5, -0.5]",6,0.0,0.1989748086435046,0.19897455529697788,-2.53346526729592e-07,0.015264919478743671,0.015265090053576208,1.705748325364631e-07
"[0, -0.5, -0.5]",7,0.0,0.547612654233058,0.5476115771517459,-1.0770813121396827e-06,0.3639027650682971,0.3639021119083442,-6.531599529013832e-07
"[0, -0.5, -0.5]",8,0.0,0.5476126542331351,0.5476115771518341,-1.0770813010374525e-06,0.36390276506837416,0.36390211190843236,-6.531599417991529e-07
"[-0.5, 0, 0]",1,2.0,-0.17189792315745397,-0.17189839213268976,-4.6897523578448563e-07,-0.35560781232221494,-0.35560785737609146,-4.5053876518430513e-08
"[-0.5, 0, 0]",2,2.0,-0.07719329494246385,-0.077193821007454,-5.260649901528414e-07,-0.2609031841072248,-0.2609032862508557,-1.0214363088678624e-07
"[-0.5, 0, 0]",3,2.0,0.13862941547502586,0.13862889075997709,-5.247150487719399e-07,-0.045080473689735084,-0.04508057448342459,-1.0079368950588474e-07
"[-0.5, 0, 0]",4,2.0,0.13862941547511276,0.13862889075999024,-5.247151225185043e-07,-0.04508047368964818,-0.045080574483411434,-1.0079376325244915e-07
"[-0.5, 0, 0]",5,0.0,0.2325129656281958,0.23251232501081914,-6.406173766460022e-07,0.04880307646343485,0.04880285976741747,-2.1669601737994704e-07
"[-0.5, 0, 0]",6,0.0,0.2990452896861467,0.2990450377259472,-2.5196019948214854e-07,0.11533540052138574,0.11533557248254553,1.7196115978390658e-07
"[-0.5, 0, 0]",7,0.0,0.2990452896861667,0.2990450377259497,-2.5196021702367233e-07,0.11533540052140578,0.11533557248254803,1.719611422423828e-07
"[-0.5, 0, 0]",8,0.0,0.45075589127556615,0.45075573041869316,-1.6085687298827978e-07,0.2670460021108052,0.2670462651752915,2.630644863055309e-07
"[-0.5, 0, -0.5]",1,2.0,-0.10551925818618117,-0.10551981454519922,-5.563590180501787e-07,-0.28922914735094213,-0.2892292797886009,-1.324376587841236e-07
"[-0.5, 0, -0.5]",2,2.0,-0.10551925818601904,-0.10551981454518156,-5.563591625179498e-07,-0.28922914735078,-0.28922927978858326,-1.3243780327965027e-07
"[-0.5, 0, -0.5]",3,2.0,0.07601210014209711,0.0760116248809246,-4.7526117251395217e-07,-0.10769778902266383,-0.10769784036247708,-5.133981324789705e-08
"[-0.5, 0, -0.5]",4,2.0,0.07601210014214177,0.07601162488096602,-4.7526117574747673e-07,-0.10769778902261917,-0.10769784036243565,-5.133981648142161e-08
"[-0.5, 0, -0.5]",5,0.0,0.1989748086434755,0.19897455529696786,-2.53346507633756e-07,0.015264919478714556,0.015265090053566188,1.7057485163229913e-07
"[-0.5, 0, -0.5]",6,0.0,0.19897480864351483,0.1989745552969841,-2.533465307263949e-07,0.015264919478753886,0.015265090053582425,1.7057482853966022e-07
"[-0.5, 0, -0.5]",7,0.0,0.5476126542330502,0.5476115771517275,-1.0770813226868015e-06,0.3639027650682892,0.3639021119083258,-6.531599634485019e-07
"[-0.5, 0, -0.5]",8,0.0,0.5476126542331348,0.5476115771518492,-1.0770812856053524e-06,0.3639027650683738,0.36390211190844746,-6.531599263670529e-07
"[-0.5, -0.5, 0]",1,2.0,-0.10551925818618191,-0.10551981454519734,-5.563590154272768e-07,-0.28922914735094285,-0.289229279788599,-1.324376561750995e-07
"[-0.5, -0.5, 0]",2,2.0,-0.10551925818601827,-0.10551981454518371,-5.563591654322853e-07,-0.2892291473507792,-0.28922927978858537,-1.3243780616623013e-07
"[-0.5, -0.5, 0]",3,2.0,0.07601210014209354,0.07601162488093156,-4.752611619807112e-07,-0.1076977890226674,-0.10769784036247011,-5.13398027146561e-08
"[-0.5, -0.5, 0]",4,2.0,0.07601210014214524,0.07601162488095993,-4.7526118530927253e-07,-0.1076977890226157,-0.10769784036244175,-5.133982604321741e-08
"[-0.5, -0.5, 0]",5,0.0,0.19897480864347578,0.1989745552969712,-2.5334650458064267e-07,0.015264919478714833,0.015265090053569519,1.7057485468541245e-07
"[-0.5, -0.5, 0]",6,0.0,0.19897480864351544,0.19897455529698077,-2.5334653466768664e-07,0.015264919478754496,0.015265090053579095,1.7057482459836848e-07
"[-0.5, -0.5, 0]",7,0.0,0.5476126542330364,0.5476115771517454,-1.0770812910454453e-06,0.36390276506827546,0.36390211190834365,-6.531599318071457e-07
"[-0.5, -0.5, 0]",8,0.0,0.5476126542331494,0.547611577151835,-1.077081314471151e-06,0.3639027650683885,0.36390211190843325,-6.531599552328515e-07
"[-0.5, -0.5, -0.5]",1,2.0,-0.17189792315745464,-0.17189839213267744,-4.6897522279487625e-07,-0.3556078123222156,-0.35560785737607914,-4.5053863528821125e-08
"[-0.5, -0.5, -0.5]",2,2.0,-0.07719329494246166,-0.07719382100747557,-5.260650139116141e-07,-0.2609031841072226,-0.2609032862508772,-1.0214365464555897e-07
"[-0.5, -0.5, -0.5]",3,2.0,0.1386294154750264,0.138628890759968,-5.247150584031246e-07,-0.04508047368973453,-0.045080574483433666,-1.0079369913706948e-07
"[-0.5, -0.5, -0.5]",4,2.0,0.13862941547511273,0.1386288907600223,-5.247150904330589e-07,-0.04508047368964821,-0.045080574483379376,-1.0079373116700374e-07
"[-0.5, -0.5, -0.5]",5,0.0,0.23251296562818016,0.23251232501070906,-6.40617471098226e-07,0.04880307646341922,0.04880285976730739,-2.1669611183217086e-07
"[-0.5, -0.5, -0.5]",6,0.0,0.29904528968615673,0.29904503772600666,-2.5196015007722394e-07,0.11533540052139579,0.11533557248260498,1.7196120918883118e-07
"[-0.5, -0.5, -0.5]",7,0.0,0.2990452896861711,0.29904503772602736,-2.519601437489527e-07,0.11533540052141017,0.11533557248262569,1.7196121551710242e-07
"[-0.5, -0.5, -0.5]",8,0.0,0.4507558912755655,0.45075573041868155,-1.6085688392397657e-07,0.26704600211080454,0.26704626517527985,2.63064475314323e-07
