kpoint_index,k_fractional,band,occupation,dftk_ha,qe_ha,delta_ha,dftk_global_reference_ha,qe_global_reference_ha,global_reference_delta_ha,independent_C_residual_ha
1,"[0, 0, 0]",1,2.0,-0.26586871860570427,-0.2164654711012831,-0.049403247504421155,-0.44016240362775355,-0.44016239397624024,-9.651513310782178e-09,-5.148489852779825e-07
1,"[0, 0, 0]",2,2.0,0.17429368502203715,0.2236969000941468,-0.04940321507210965,-1.2129186544029835e-14,-2.2780810293721032e-08,2.2780798164534488e-08,-4.824166737749103e-07
1,"[0, 0, 0]",3,2.0,0.17429368502204726,0.2236969113205927,-0.04940322629854543,-2.0261570199409107e-15,-1.1554364409693818e-08,1.1554362383536798e-08,-4.93643109555908e-07
1,"[0, 0, 0]",4,2.0,0.17429368502204928,0.2236969228749571,-0.049403237852907816,0.0,0.0,0.0,-5.051974719394448e-07
1,"[0, 0, 0]",5,0.0,0.2666975609079317,0.3161008245372587,-0.04940326362932701,0.09240387588588239,0.09240390166230159,-2.577641919354612e-08,-5.309738911329909e-07
1,"[0, 0, 0]",6,0.0,0.26669756090793834,0.3161008254256634,-0.04940326451772509,0.09240387588588905,0.09240390255070632,-2.6664817270871666e-08,-5.318622892103164e-07
1,"[0, 0, 0]",7,0.0,0.2666975609079488,0.3161008293786512,-0.049403268470702366,0.09240387588589954,0.0924039065036941,-3.061779454971436e-08,-5.358152664891591e-07
1,"[0, 0, 0]",8,0.0,0.2909523819536826,0.3403556375524855,-0.049403255598802875,0.11665869693163333,0.11665871467752839,-1.774589505898483e-08,-5.229433669984296e-07
2,"[0, 0, 0.25]",1,2.0,-0.23643877387469533,-0.1870355273047039,-0.04940324656999143,-0.4107324588967446,-0.410732450179661,-8.717083610498833e-09,-5.139145555499436e-07
2,"[0, 0, 0.25]",2,2.0,0.02890642675894132,0.07830967216930304,-0.04940324541036172,-0.14538725826310797,-0.14538725070565406,-7.557453912676593e-09,-5.127549258451825e-07
