map_index,k_index,target_states,auxiliary_states,ng,initial_source,initial_seed,initial_gram_norm,initial_imaginary_norm,initial_sha256,initial_unchanged,converged,iterations,elapsed_seconds,solver_n_matvec,operator_counts,counts_after_explicit_residual,orthogonality_frobenius,max_explicit_residual_ha
161,3,24,6,2770,Previous map from this run only,63003,1.6866088599991725e-14,3.8544123740556997,d9a603e3116607f3944a2695c2d374ee70c9169fabedbff2cec1df4139a57c00,True,True,11,0.4028589725494385,236,"{""full_mul_calls"":12,""full_columns"":236,""fr_mul_calls"":12,""fr_columns"":236,""common"":{""operator_mul_calls"":12,""operator_columns"":236,""scalar_mul_calls"":24,""scalar_columns"":472}}","{""full_mul_calls"":13,""full_columns"":260,""fr_mul_calls"":13,""fr_columns"":260,""common"":{""operator_mul_calls"":13,""operator_columns"":260,""scalar_mul_calls"":26,""scalar_columns"":520}}",1.5623282919180313e-14,8.821994203100596e-11
162,1,24,6,2777,Previous map from this run only,63001,1.5189531290098106e-14,3.9221792152267057,861ad6129fc4d1285712fe64d9a025410228eec20d3c9074e225cb9182674a0d,True,True,8,0.3748300075531006,210,"{""full_mul_calls"":9,""full_columns"":210,""fr_mul_calls"":9,""fr_columns"":210,""common"":{""operator_mul_calls"":9,""operator_columns"":210,""scalar_mul_calls"":18,""scalar_columns"":420}}","{""full_mul_calls"":10,""full_columns"":234,""fr_mul_calls"":10,""fr_columns"":234,""common"":{""operator_mul_calls"":10,""operator_columns"":234,""scalar_mul_calls"":20,""scalar_columns"":468}}",1.452986633622052e-14,9.5911579458071e-11
162,2,24,6,2770,Previous map from this run only,63002,1.961562795066958e-14,4.092163218231877,2992841ea8d055d917488c3c7590f3bf3240493fbf92c9bc392a99ad2ccfeaf3,True,True,11,0.5621931552886963,234,"{""full_mul_calls"":12,""full_columns"":234,""fr_mul_calls"":12,""fr_columns"":234,""common"":{""operator_mul_calls"":12,""operator_columns"":234,""scalar_mul_calls"":24,""scalar_columns"":468}}","{""full_mul_calls"":13,""full_columns"":258,""fr_mul_calls"":13,""fr_columns"":258,""common"":{""operator_mul_calls"":13,""operator_columns"":258,""scalar_mul_calls"":26,""scalar_columns"":516}}",1.5130864868768047e-14,9.389574905197551e-11
162,3,24,6,2770,Previous map from this run only,63003,2.0963901060677197e-14,3.7721655877200493,9e39a024275c4cf953e77cb7c682c09e6388ce48101a15c053aa80637fc282d3,True,True,11,0.4029560089111328,234,"{""full_mul_calls"":12,""full_columns"":234,""fr_mul_calls"":12,""fr_columns"":234,""common"":{""operator_mul_calls"":12,""operator_columns"":234,""scalar_mul_calls"":24,""scalar_columns"":468}}","{""full_mul_calls"":13,""full_columns"":258,""fr_mul_calls"":13,""fr_columns"":258,""common"":{""operator_mul_calls"":13,""operator_columns"":258,""scalar_mul_calls"":26,""scalar_columns"":516}}",1.7172281975319657e-14,9.595550209336699e-11
163,1,24,6,2777,Previous map from this run only,63001,1.7698104416782536e-14,3.8836204295409473,e48894458c57519f46bc6c7d8cf92f908fac8f906627cc03797598ba80c8a77b,True,True,7,0.35326504707336426,192,"{""full_mul_calls"":8,""full_columns"":192,""fr_mul_calls"":8,""fr_columns"":192,""common"":{""operator_mul_calls"":8,""operator_columns"":192,""scalar_mul_calls"":16,""scalar_columns"":384}}","{""full_mul_calls"":9,""full_columns"":216,""fr_mul_calls"":9,""fr_columns"":216,""common"":{""operator_mul_calls"":9,""operator_columns"":216,""scalar_mul_calls"":18,""scalar_columns"":432}}",1.1625634131988943e-14,9.410236916738378e-11
163,2,24,6,2770,Previous map from this run only,63002,2.0707690366456827e-14,3.870599282395842,a5bcf667574038d4b0cf921ed351c89ece05451ab0d8931d47ffc8558872d044,True,True,10,0.5383760929107666,226,"{""full_mul_calls"":11,""full_columns"":226,""fr_mul_calls"":11,""fr_columns"":226,""common"":{""operator_mul_calls"":11,""operator_columns"":226,""scalar_mul_calls"":22,""scalar_columns"":452}}","{""full_mul_calls"":12,""full_columns"":250,""fr_mul_calls"":12,""fr_columns"":250,""common"":{""operator_mul_calls"":12,""operator_columns"":250,""scalar_mul_calls"":24,""scalar_columns"":500}}",1.380703490327908e-14,9.740832721295752e-11
163,3,24,6,2770,Previous map from this run only,63003,2.0530005339611607e-14,3.830560775308564,c227634ae4704678055013503a75b81ad847ece1367dd287dba7af142bcc1297,True,True,10,0.3861978054046631,225,"{""full_mul_calls"":11,""full_columns"":225,""fr_mul_calls"":11,""fr_columns"":225,""common"":{""operator_mul_calls"":11,""operator_columns"":225,""scalar_mul_calls"":22,""scalar_columns"":450}}","{""full_mul_calls"":12,""full_columns"":249,""fr_mul_calls"":12,""fr_columns"":249,""common"":{""operator_mul_calls"":12,""operator_columns"":249,""scalar_mul_calls"":24,""scalar_columns"":498}}",1.7664316543713717e-14,9.980530118062994e-11
164,1,24,6,2777,Previous map from this run only,63001,1.7272742311946604e-14,3.8622796603289475,33940ce8cc5c549d8164cca4a341a87c51571e8d6a5aa09edf86eed2ce3ff68d,True,True,7,0.3550138473510742,192,"{""full_mul_calls"":8,""full_columns"":192,""fr_mul_calls"":8,""fr_columns"":192,""common"":{""operator_mul_calls"":8,""operator_columns"":192,""scalar_mul_calls"":16,""scalar_columns"":384}}","{""full_mul_calls"":9,""full_columns"":216,""fr_mul_calls"":9,""fr_columns"":216,""common"":{""operator_mul_calls"":9,""operator_columns"":216,""scalar_mul_calls"":18,""scalar_columns"":432}}",1.3605942559461121e-14,8.301150035449853e-11
164,2,24,6,2770,Previous map from this run only,63002,1.8775508361350714e-14,3.95158331280689,d9baed396c8080d3644c004d4659286bb923bce39cc5100e15d7ca0efb21e710,True,True,10,0.539478063583374,222,"{""full_mul_calls"":11,""full_columns"":222,""fr_mul_calls"":11,""fr_columns"":222,""common"":{""operator_mul_calls"":11,""operator_columns"":222,""scalar_mul_calls"":22,""scalar_columns"":444}}","{""full_mul_calls"":12,""full_columns"":246,""fr_mul_calls"":12,""fr_columns"":246,""common"":{""operator_mul_calls"":12,""operator_columns"":246,""scalar_mul_calls"":24,""scalar_columns"":492}}",1.407654327772082e-14,9.844510625936696e-11
164,3,24,6,2770,Previous map from this run only,63003,2.008080099835283e-14,3.8112764905090106,2d53887d569f1a8008bd33bef9950cbb28a2cc7e2e5c59a51ead07c9bbd975a8,True,True,10,0.38066887855529785,222,"{""full_mul_calls"":11,""full_columns"":222,""fr_mul_calls"":11,""fr_columns"":222,""common"":{""operator_mul_calls"":11,""operator_columns"":222,""scalar_mul_calls"":22,""scalar_columns"":444}}","{""full_mul_calls"":12,""full_columns"":246,""fr_mul_calls"":12,""fr_columns"":246,""common"":{""operator_mul_calls"":12,""operator_columns"":246,""scalar_mul_calls"":24,""scalar_columns"":492}}",1.657051663032144e-14,9.493783637644603e-11
