kpoint_index,k_fractional,band,occupation,dftk_ha,qe_ha,delta_ha,dftk_global_reference_ha,qe_global_reference_ha,global_reference_delta_ha
1,"[0, 0, 0]",1,2.0,-0.25903274846240754,-0.2096295824590137,-0.04940316600339384,-0.4427439777345826,-0.44274408475672433,1.0702214170432711e-07
1,"[0, 0, 0]",2,2.0,0.1837112292720421,0.2331141909007091,-0.049402961628667,-1.3300471835009375e-13,-3.1139700151783245e-07,3.113968685131141e-07
1,"[0, 0, 0]",3,2.0,0.18371122927211894,0.2331142524193345,-0.04940302314721556,-5.614952947041729e-14,-2.4987837610179753e-07,2.4987831995226806e-07
1,"[0, 0, 0]",4,2.0,0.1837112292721751,0.2331145022977106,-0.049403273025535516,0.0,0.0,0.0
1,"[0, 0, 0]",5,0.0,0.27174857866685265,0.3211516891760546,-0.04940311050920193,0.08803734939467756,0.08803718687834397,1.625163335849944e-07
1,"[0, 0, 0]",6,0.0,0.271748578666881,0.3211518073771116,-0.04940322871023056,0.08803734939470592,0.08803730507940097,4.431530495341285e-08
1,"[0, 0, 0]",7,0.0,0.2717485786669102,0.3211518267086746,-0.04940324804176438,0.08803734939473512,0.08803732441096399,2.4983771135245192e-08
1,"[0, 0, 0]",8,0.0,0.3000500533040941,0.3494531695626245,-0.04940311625853039,0.11633882403191903,0.1163386672649139,1.5676700512723407e-07
2,"[0, 0, -0.5]",1,2.0,-0.17189630491989075,-0.1224931529912403,-0.04940315192865044,-0.3556075341920658,-0.3556076552889509,1.2109688507511152e-07
2,"[0, 0, -0.5]",2,2.0,-0.07719171664857838,-0.02778857425030919,-0.04940314239826919,-0.26090294592075347,-0.2609030765480198,1.306272663370578e-07
2,"[0, 0, -0.5]",3,2.0,0.13863066694915033,0.1880336803295161,-0.04940301338036576,-0.045080562323024764,-0.04508082196819452,2.5964516975340857e-07
2,"[0, 0, -0.5]",4,2.0,0.1386306669492245,0.1880338911898645,-0.049403224240640004,-0.0450805623229506,-0.045080611107846114,4.878489551218834e-08
2,"[0, 0, -0.5]",5,0.0,0.2325145512721194,0.2819177661953516,-0.049403214923232186,0.048803321999944305,0.048803263897640975,5.810230332969901e-08
2,"[0, 0, -0.5]",6,0.0,0.2990459428527681,0.3484490935387687,-0.049403150686000596,0.115334713580593,0.11533459124105808,1.2233953491924687e-07
2,"[0, 0, -0.5]",7,0.0,0.29904594285279645,0.3484492865854143,-0.049403343732617844,0.11533471358062136,0.11533478428770369,-7.070708232803646e-08
2,"[0, 0, -0.5]",8,0.0,0.45075614437387285,0.5001596028613016,-0.04940345848742872,0.26704491510169776,0.267045100563591,-1.854618932317642e-07
3,"[0, -0.5, 0]",1,2.0,-0.17189630491993835,-0.1224932693591674,-0.04940303556077094,-0.35560753419211344,-0.355607771656878,2.374647645742023e-07
3,"[0, -0.5, 0]",2,2.0,-0.07719171664848236,-0.02778833373600004,-0.04940338291248232,-0.26090294592065744,-0.26090283603371067,-1.0988694676417055e-07
3,"[0, -0.5, 0]",3,2.0,0.13863066694911694,0.1880337134621261,-0.04940304651300917,-0.045080562323058154,-0.0450807888355845,2.26512526346756e-07
3,"[0, -0.5, 0]",4,2.0,0.13863066694921866,0.1880337638843629,-0.04940309693514425,-0.04508056232295643,-0.0450807384133477,1.7609039126842418e-07
3,"[0, -0.5, 0]",5,0.0,0.23251455127210655,0.2819176788847396,-0.049403127612633074,0.048803321999931454,0.04880317658702901,1.454129024414108e-07
3,"[0, -0.5, 0]",6,0.0,0.29904594285271907,0.3484491090815623,-0.04940316622884322,0.11533471358054398,0.11533460678385168,1.0679669229518574e-07
3,"[0, -0.5, 0]",7,0.0,0.2990459428527712,0.3484491449925132,-0.04940320213974203,0.1153347135805961,0.11533464269480262,7.088579348502044e-08
3,"[0, -0.5, 0]",8,0.0,0.4507561443738455,0.5001595292359036,-0.049403384862058086,0.2670449151016704,0.267045026938193,-1.1183652259827426e-07
4,"[0, -0.5, -0.5]",1,2.0,-0.1055175989404522,-0.05611457012488241,-0.049403028815569794,-0.2892288282126273,-0.289229072422593,2.442099656940755e-07
4,"[0, -0.5, -0.5]",2,2.0,-0.10551759894033115,-0.05611437098868781,-0.04940322795164334,-0.28922882821250623,-0.2892288732863984,4.507389217422997e-08
4,"[0, -0.5, -0.5]",3,2.0,0.07601347909140727,0.1254165899969537,-0.04940311090554644,-0.10769775018076783,-0.1076979123007569,1.6211998907222913e-07
4,"[0, -0.5, -0.5]",4,2.0,0.07601347909142767,0.1254166715880065,-0.049403192496578846,-0.10769775018074743,-0.1076978307097041,8.052895666965654e-08
4,"[0, -0.5, -0.5]",5,0.0,0.19897533664243963,0.2483785830254679,-0.04940324638302826,0.01526410737026454,0.015264080727757284,2.6642507255925096e-08
4,"[0, -0.5, -0.5]",6,0.0,0.19897533664246828,0.2483787087450408,-0.049403372102572535,0.015264107370293184,0.015264206447330203,-9.907703701905746e-08
4,"[0, -0.5, -0.5]",7,0.0,0.5476168537931286,0.5970199744174396,-0.04940312062431096,0.36390562452095354,0.363905472119729,1.5240122452908622e-07
4,"[0, -0.5, -0.5]",8,0.0,0.547616853793138,0.5970200180857932,-0.04940316429265523,0.36390562452096287,0.3639055157880826,1.0873288025514682e-07
5,"[-0.5, 0, 0]",1,2.0,-0.1718963049199086,-0.1224931289961177,-0.0494031759237909,-0.3556075341920837,-0.35560763129382833,9.710174464494514e-08
5,"[-0.5, 0, 0]",2,2.0,-0.07719171664853988,-0.02778862394432926,-0.04940309270421062,-0.26090294592071495,-0.2609031262420399,1.803213249274016e-07
