scalar_columns,input_norm,actual_norm,reference_sha256,reference_norm,input_sha256,projector_columns,normalized_action_error,weight,ng,actual_sha256,ik
36,1.0,0.256811742849126,fdb8ae5a81ec7f3e27b3a2b338ebc92000871d162ab91930350ffc48315feb31,0.25681174284912617,27251f15d29ed9612093b265a9da4f1beb78c762b5369564dc2438ec10167229,72,5.024795938715737e-16,0.125,2085,da59dd21ed8c748de37faee94fc18ffef6beee1a438caaf2a20bb250feb9adfb,1
36,1.0000000000000004,0.2534087273598276,deaf73b8d8fd920ef4eed5d3f26e77cf01ddcf3747be4d2d223a4a850eca4c36,0.2534087273598277,54acf0a22bda3224dfa81118621a60cec2089b8ba184fe93ded2c31278315689,72,5.487994602582041e-16,0.125,2120,97115efbd12dd9b4da627d89a13828c24a9e45354432a8e702abb5f7c3cac795,2
36,1.0,0.27785745330110756,f2c66ff7cee6d9857d3ba6b6179b7aa2f108dd348726bc2e9ab537c187a4e42c,0.2778574533011075,59a2c32f463495b4d022a05f570829270ddb774628fd8bd75c24bfafe6e5e473,72,5.924261374413789e-16,0.125,2120,f2f9108ac744f2c3711c30c93a74bf949e75c0d2a614749676a3b4e093ebb7bc,3
36,0.9999999999999999,0.24512116448709553,acf451c4483277150b58e68d04171a9671cf96b8f45ba7f03ca6320ef47bffce,0.24512116448709553,83607849cd049d165fb59d4e0fcb881a5de217e3550069d762bd9f7ca92cf0c3,72,4.795860708845965e-16,0.125,2100,0e8da9145463007e7b8dbb99fcc270a69645e084683f7bee045b17658feab44b,4
36,1.0000000000000002,0.2664306988893402,5c35eab799ccfc3eb04d422a9c398c7d5144652ee1ae370233a116badcc63ca4,0.26643069888934007,7d0c4be9b07dd10020e6e2c662ab8e5e7559c3a5ce798c25e6132684e8d7919f,72,5.637810687206692e-16,0.125,2120,341b54505b484d8568af01912a21ed57cee64eaf4a742ac8452e0e8de22f0d50,5
36,1.0,0.21443614138873962,b9fd7d136c411756edbf7d82b4efec11d4d1476a01bfefa0583ed974791c7141,0.21443614138873965,debf937d1f2d7da774fb5e92990fba6b31b65e4255f7d7b603584143e9e42cd5,72,4.784814941889208e-16,0.125,2100,1534c3751cd30dc63395d13f4e055938b6bd3748d31e81c612d03e5b56a9d5a2,6
36,0.9999999999999998,0.23558420930760812,5b47fb957ee498a93ea5338ef41868b5b4c6953f35f7b3bb7256cd4078cc205b,0.2355842093076081,0df13860cdf5f22763d4bbef627c143dca1ea0b0bbfcc150f148854ee8bee97e,72,5.425241789044889e-16,0.125,2100,2819286df3e2488def5c0e7dc7bc8304c8575554092325e37b1c0d62b1d903a1,7
36,1.0,0.21171157464099996,1796de3c2193eb9d7bbfc4d294e972cfdfce1888f2816fc64253a87ce72e9660,0.21171157464100004,97d00e41fc68611c2d8c8ec3678879583ebce4734278e41d41a490198a8783c0,72,4.975374693563339e-16,0.125,2120,1cecdb2a8a875bc717003f9d00d56b3419ec70dfad32b693a996ccc95067b132,8
