run,map,role,status,unmixed_density_l2,mixed_step_l2,actual_next_step_l2,n_in_electrons,n_out_electrons,n_next_electrons,potential_change_norm,h_probe_change_norm,energy_ha_cell,max_input_h_residual_ha,max_self_density_h_residual_ha,pauli_density_ratio,double_counting_error_ha,solver_column_matvecs
A,1,iteration,CONTINUE,0.1522167495910364,0.04566502487731091,0.04566502487731091,8.0,8.00000000000001,8.000000000000002,,,-8.423468134478192,9.989337498241654e-11,0.049370547098004425,3.4700820556739235e-12,3.552713678800501e-15,5733
A,2,iteration,CONTINUE,0.09889239587693405,0.029667718763080213,0.029667718763080213,8.000000000000002,8.000000000000009,8.000000000000005,2.4506800404989817,0.009178541488372756,-8.426888294834345,9.966984803084463e-11,0.03045162806910871,1.9339095131974153e-12,5.329070518200751e-15,3522
A,3,iteration,CONTINUE,0.06454321375567917,0.019362964126703745,0.019362964126703745,8.000000000000005,8.000000000000004,8.000000000000004,1.45929340150748,0.005455614315549442,-8.428160898976662,9.872957191411381e-11,0.018674024234422493,1.5581683564951806e-12,1.7763568394002505e-15,3315
A,4,iteration,CONTINUE,0.042405405690825265,0.012721621707247563,0.012721621707247563,8.000000000000004,8.00000000000001,8.000000000000005,0.8703782870820894,0.003246114002455627,-8.428622614355149,9.577219207959868e-11,0.011457259732190108,1.1045896383471057e-12,5.329070518200751e-15,3198
A,5,iteration,CONTINUE,0.0280548458634921,0.008416453759047622,0.008416453759047622,8.000000000000005,8.000000000000009,8.000000000000007,0.5242255606384757,0.0019488477342601322,-8.428789119762458,8.475329289246833e-11,0.007054916071431935,5.096545381237736e-13,1.7763568394002505e-15,3084
A,6,iteration,CONTINUE,0.018681882389615462,0.0056045647168846266,0.0056045647168846266,8.000000000000007,8.000000000000016,8.000000000000009,0.3203438425958583,0.0011860893118045292,-8.428849378991238,9.188256468457994e-11,0.004367617878632127,1.8376162430924067e-13,7.105427357601002e-15,3008
A,7,iteration,CONTINUE,0.012512492669194327,0.0037537478007582882,0.0037537478007582882,8.000000000000009,8.000000000000014,8.00000000000001,0.19917658529128238,0.0007339977674207314,-8.428871385572894,9.682182240174772e-11,0.0027217101086220038,1.799036656362746e-12,5.329070518200751e-15,2949
A,8,iteration,CONTINUE,0.008422296328626363,0.0025266888985878977,0.0025266888985878977,8.00000000000001,8.000000000000012,8.00000000000001,0.12619866677691363,0.0004627360290246059,-8.428879526473533,9.162142256089043e-11,0.0017085812605000905,9.82453200728233e-15,5.329070518200751e-15,2879
A,9,iteration,CONTINUE,0.005693087529277815,0.001707926258783336,0.001707926258783336,8.00000000000001,8.00000000000001,8.00000000000001,0.08151061606320925,0.00029742212653012024,-8.428882586663965,7.275446055495807e-11,0.0010811074217304904,2.8102963513228908e-14,5.329070518200751e-15,2792
A,10,iteration,CONTINUE,0.0038618714436406115,0.0011585614330921763,0.0011585614330921763,8.00000000000001,8.000000000000021,8.000000000000012,0.05362297937397625,0.0001948177419838053,-8.428883758858218,9.910175538245064e-11,0.0006897397442499605,3.4544691013686797e-13,7.105427357601002e-15,2652
A,11,iteration,CONTINUE,0.0026273892155672268,0.0007882167646701604,0.0007882167646701604,8.000000000000012,8.000000000000014,8.000000000000012,0.03586422573505398,0.00012984249757488157,-8.42888421751218,9.990944002729461e-11,0.000443741959039546,2.39683761207457e-13,-1.7763568394002505e-15,2633
A,12,iteration,CONTINUE,0.0017919011488694398,0.0005375703446608251,0.0005375703446608251,8.000000000000012,8.000000000000014,8.000000000000012,0.024325474053415962,8.784118730421711e-05,-8.4288844011715,9.980609800189848e-11,0.00028784261235842386,1.660879928515591e-13,5.329070518200751e-15,2570
A,13,iteration,CONTINUE,0.0012245939995630712,0.0003673781998689129,0.0003673781998689129,8.000000000000012,8.000000000000009,8.000000000000012,0.016686783869395334,6.015506750881835e-05,-8.428884476512474,9.499712984210802e-11,0.00018820178766530105,7.393586305817731e-13,8.881784197001252e-15,2438
A,14,iteration,CONTINUE,0.0008383362158393433,0.00025150086475179495,0.00025150086475179495,8.000000000000012,8.000000000000007,8.000000000000009,0.01154729649409045,4.1587354708093484e-05,-8.42888450817571,8.149740266473011e-11,0.00013044660724577126,5.767749661779309e-13,1.0658141036401503e-14,2519
A,15,iteration,CONTINUE,0.0005747525073722128,0.00017242575221165712,0.00017242575221165712,8.000000000000009,8.000000000000014,8.00000000000001,0.008043139041633764,2.8955477486316697e-05,-8.428884521795268,9.949065992143374e-11,9.375399114790608e-05,2.1582935419832428e-13,5.329070518200751e-15,2423
A,16,iteration,CONTINUE,0.0003945413824996505,0.00011836241474988769,0.00011836241474988769,8.00000000000001,8.000000000000012,8.00000000000001,0.005629108312773613,2.0264701520362323e-05,-8.428884527780282,9.963774979107628e-11,6.729629246382725e-05,1.1755526252522437e-12,8.881784197001252e-15,2381
A,17,iteration,CONTINUE,0.0002711348274498665,8.134044823495306e-05,8.134044823495306e-05,8.00000000000001,8.000000000000005,8.000000000000009,0.003953088584431303,1.4234596347103275e-05,-8.428884530460842,9.504068119211685e-11,4.8245640647913615e-05,4.474408902049702e-13,7.105427357601002e-15,2304
A,18,iteration,CONTINUE,0.00018651204028564096,5.595361208568565e-05,5.595361208568565e-05,8.000000000000009,8.000000000000007,8.000000000000009,0.0027828285913330283,1.0024700692421392e-05,-8.42888453168122,9.718464143249878e-11,3.454912951309396e-05,1.296824904051791e-12,5.329070518200751e-15,2339
A,19,iteration,CONTINUE,0.00012841554069701816,3.852466220909949e-05,3.852466220909949e-05,8.000000000000009,8.000000000000007,8.000000000000009,0.001962377829274533,7.072630834742213e-06,-8.428884532244517,9.814185789922852e-11,2.471636304957823e-05,1.3730858667238143e-14,8.881784197001252e-15,2234
A,20,iteration,CONTINUE,8.848868692791289e-05,2.6546606078367946e-05,2.6546606078367946e-05,8.000000000000009,8.000000000000007,8.000000000000007,0.0013855142915912724,4.996187582502722e-06,-8.428884532507485,9.258042449134363e-11,1.7666818631953807e-05,2.5732705346051308e-14,8.881784197001252e-15,2184
A,21,iteration,CONTINUE,6.102327553150893e-05,1.8306982659446798e-05,1.8306982659446798e-05,8.000000000000007,8.000000000000007,8.000000000000007,0.0009790950733942667,3.532517381427629e-06,-8.428884532631384,9.576284548854296e-11,1.2618667083146494e-05,6.008720510642822e-15,1.0658141036401503e-14,2144
